name,price,inventoryQuantity,imageUrl,description,category
7up Diet 355 Ml,144.04,79,/public/img/0.jpg,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,luxury
Allspice - Jamaican,119.06,98,/public/img/7.jpg,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue.,adult
Appetizer - Cheese Bites,100.33,12,/public/img/4.jpg,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo.,misc
Appetizer - Escargot Puff,140.66,32,/public/img/0.jpg,Suspendisse potenti.,adult
Apple - Delicious Golden,11.17,20,/public/img/2.jpg,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,adult
Apple - Granny Smith,36.52,79,/public/img/9.jpg,Proin eu mi.,adult
Apple - Macintosh,71.69,26,/public/img/8.jpg,Sed accumsan felis. Ut at dolor quis odio consequat varius.,luxury
Apple - Northern Spy,32.42,32,/public/img/3.jpg,Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,misc
Apron,152.64,86,/public/img/1.jpg,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.,adult
Arizona - Plum Green Tea,38.76,100,/public/img/1.jpg,Nunc nisl.,misc
Aromat Spice / Seasoning,20.26,5,/public/img/2.jpg,Nunc purus. Phasus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,misc
Artichokes - Jerusalem,167.57,25,/public/img/0.jpg,Nulla nisl. Nunc nisl. Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante. Nulla justo.,adult
Artichokes - Knobless White,150.31,73,/public/img/3.jpg,In hac habitasse platea dictumst.,adult
Asparagus - Green Fresh,169.60,95,/public/img/1.jpg,Praesent blandit. Nam nulla. Integer pede justo lacinia eget tincidunt eget tempus vel pede. Morbi porttitor lorem id ligula.,kids
Aspic - Clear,104.34,86,/public/img/8.jpg,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,adult
Assorted Desserts,65.76,94,/public/img/6.jpg,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo.,adult
Bacardi Raspberry,39.72,60,/public/img/0.jpg,Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.,luxury
Bag - Regular Kraft 20 Lb,145.14,91,/public/img/8.jpg,In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.,misc
Bamboo Shoots - Sliced,87.50,53,/public/img/7.jpg,Sed vel enim sit amet nunc viverra dapibus.,adult
Banana - Leaves,142.16,46,/public/img/5.jpg,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla.,kids
